pm2.5,pm10,o3,no2,so2,co
84.0,80.0,3.0,5.0,2.0,3.0
83.0,73.0,4.0,6.0,2.0,4.0
101.0,76.0,3.0,4.0,2.0,5.0
142.0,75.0,6.0,5.0,2.0,1.0
149.0,86.0,2.0,5.0,2.0,4.0
144.0,97.0,3.0,6.0,2.0,3.0
115.0,101.0,4.0,7.0,2.0,3.0
95.0,84.0,3.0,7.0,2.0,3.0
177.0,77.0,2.0,5.0,3.0,9.0
123.0,86.0,2.0,5.0,2.0,9.0
128.0,93.0,2.0,10.0,2.0,8.0
132.0,89.0,3.0,7.0,2.0,9.0
143.0,94.0,2.0,7.0,2.0,9.0
113.0,121.0,5.0,12.0,2.0,9.0
105.0,100.0,3.0,6.0,2.0,9.0
95.0,98.0,2.0,6.0,2.0,8.0
111.0,81.0,2.0,5.0,2.0,8.0
111.0,80.0,2.0,7.0,2.0,8.0
83.0,84.0,4.0,9.0,2.0,9.0
101.0,66.0,2.0,5.0,2.0,8.0
134.0,89.0,2.0,3.0,1.0,8.0
102.0,86.0,3.0,1.0,1.0,9.0
65.0,71.0,2.0,1.0,2.0,9.0
93.0,58.0,2.0,0.0,2.0,8.0
44.0,79.0,2.0,1.0,2.0,9.0
64.0,40.0,2.0,0.0,1.0,9.0
61.0,61.0,2.0,0.0,1.0,8.0
154.0,44.0,2.0,0.0,2.0,9.0
94.0,59.0,1.0,2.0,2.0,9.0
87.0,61.0,2.0,0.0,1.0,7.0
61.0,72.0,6.0,2.0,2.0,9.0
99.0,63.0,3.0,1.0,2.0,9.0
165.0,83.0,4.0,3.0,2.0,9.0
142.0,100.0,5.0,5.0,2.0,10.0
146.0,93.0,8.0,5.0,2.0,8.0
156.0,83.0,4.0,5.0,1.0,9.0
141.0,94.0,9.0,6.0,1.0,9.0
156.0,69.0,5.0,6.0,1.0,12.0
145.0,89.0,5.0,6.0,1.0,3.0
107.0,98.0,2.0,7.0,1.0,15.0
108.0,76.0,2.0,5.0,2.0,40.0
88.0,87.0,1.0,4.0,2.0,24.0
100.0,56.0,2.0,4.0,1.0,17.0
92.0,60.0,2.0,5.0,1.0,27.0
91.0,55.0,2.0,4.0,2.0,43.0
105.0,59.0,2.0,5.0,2.0,1.0
106.0,62.0,3.0,4.0,2.0,24.0
102.0,79.0,2.0,4.0,2.0,22.0
105.0,67.0,3.0,4.0,2.0,32.0
123.0,66.0,2.0,5.0,2.0,42.0
159.0,79.0,5.0,6.0,2.0,33.0
135.0,95.0,11.0,10.0,2.0,39.0
119.0,84.0,11.0,10.0,1.0,41.0
144.0,73.0,1.0,8.0,2.0,30.0
122.0,125.0,6.0,12.0,2.0,12.0
95.0,100.0,3.0,6.0,1.0,10.0
85.0,71.0,4.0,5.0,2.0,9.0
88.0,101.0,3.0,4.0,2.0,12.0
114.0,114.0,3.0,5.0,2.0,8.0
111.0,101.0,3.0,5.0,1.0,7.0
134.0,84.0,3.0,7.0,1.0,6.0
97.0,83.0,5.0,8.0,2.0,11.0
111.0,119.0,3.0,5.0,2.0,4.0
149.0,120.0,3.0,5.0,2.0,7.0
162.0,107.0,11.0,5.0,2.0,6.0
162.0,112.0,8.0,9.0,1.0,7.0
109.0,106.0,20.0,10.0,2.0,7.0
119.0,73.0,5.0,7.0,2.0,8.0
134.0,95.0,3.0,7.0,2.0,6.0
135.0,65.0,7.0,7.0,2.0,6.0
157.0,127.0,6.0,5.0,2.0,7.0
145.0,125.0,6.0,7.0,3.0,5.0
171.0,102.0,3.0,6.0,3.0,4.0
154.0,138.0,6.0,9.0,3.0,5.0
145.0,181.0,21.0,17.0,4.0,5.0
133.0,138.0,10.0,14.0,2.0,6.0
125.0,113.0,5.0,11.0,2.0,3.0
121.0,86.0,11.0,10.0,2.0,3.0
151.0,98.0,16.0,8.0,2.0,4.0
133.0,110.0,2.0,5.0,2.0,5.0
103.0,85.0,2.0,3.0,2.0,4.0
95.0,62.0,3.0,3.0,1.0,3.0
